sample,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50,gene51,gene52,gene53,gene54,gene55,gene56,gene57,gene58,gene59,gene60,gene61,gene62,gene63,gene64,gene65,gene66,gene67,gene68,gene69,gene70,gene71,gene72,gene73,gene74,gene75
sample159,0.5,-0.672,-0.216,0.332,-0.456,0.425,-0.541,-0.764,-0.487,-1.723,-0.73,1.256,-1.592,0.347,0.705,-1.781,0.069,0.135,0.311,-1.648,0.729,1.368,1.224,-0.506,1.603,-0.312,1.094,0.022,-0.398,-1.094,-0.391,-1.725,-1.152,0.248,-1.714,0.841,-0.256,-0.538,2.297,0.319,-1.929,0.388,0.952,-0.146,0.128,-0.165,-0.253,-1.208,-0.448,1.537,0.232,-0.037,1.086,-0.213,0.509,-0.794,1.238,-0.124,-0.423,-0.795,-0.853,0.612,0.041,-0.796,-0.609,-0.456,0.482,-1.063,-1.438,-1.627,0.578,1.579,0.873,-0.788,-0.106
sample160,-0.214,0.536,0.689,0.429,-0.928,2.548,0.78,1.516,0.115,0.272,-1.308,-0.563,-0.595,-0.327,-1.258,-0.97,-0.856,-0.634,0.554,-0.062,0.057,0.608,-0.275,0.407,1.291,-0.26,-0.99,-0.237,-0.915,-0.226,0.05,-1.421,0.548,-0.558,-1.453,1.665,-1.469,-0.438,0.298,0.097,0.377,-0.89,-0.23,0.803,0.034,1.574,-0.229,-0.982,0.903,1.056,2.155,-0.996,0.323,0.564,1.934,1.085,2.629,1.264,-0.699,0.192,-0.058,-0.049,0.758,-0.882,-0.785,0.397,-0.55,2.127,0.216,-1.216,-1.166,-2.168,-0.647,-0.345,-1.038
sample161,-0.705,-1.313,-0.919,1.277,-0.492,-2.074,-0.088,0.59,1.725,1.615,-0.243,-0.059,2.366,0.323,-0.618,-0.359,-1.348,-0.301,-0.21,1.355,-1.495,0.516,-0.912,0.197,-0.104,1.453,0.116,0.565,0.281,0.295,0.517,-0.356,-1.5,1.35,0.915,0.688,0.078,1.783,-0.481,0.175,-0.348,0.835,0.574,-1.616,0.662,-0.591,0.036,-0.156,-0.305,-0.276,-0.01,0.608,0.553,1.671,-0.39,1.323,-0.669,0.743,-0.282,0.633,-0.561,-0.69,1.86,-1.235,0.973,1.79,-0.996,-0.91,-1.012,1.002,0.348,-0.292,-1.134,-1.349,-0.2
sample162,0.65,0.556,0.985,0.549,-0.601,-0.099,1.109,0.192,0.51,1.106,-0.115,1.423,0.748,0.047,0.37,-0.398,0.865,-0.964,-0.862,-0.7,0.474,-0.948,2.216,-0.436,0.076,1.323,-0.259,1.159,0.293,-0.288,-0.719,-1.167,0.385,-2.083,-0.78,-0.205,-0.348,0.884,0.416,-0.688,2.219,0.784,-1.683,-0.75,1.708,-1.584,-0.632,-0.208,-0.25,-0.214,-1.128,0.241,-0.277,-1.089,0.104,0.586,-3.097,-0.444,0.928,0.316,-0.037,-0.724,0.298,-1.747,1.224,-0.161,0.884,0.392,3.215,-1.385,0.788,-1.085,-2.396,0.819,-0.814
sample163,0.065,-0.325,0.588,-0.034,-0.454,-0.015,-1.583,0.255,-0.557,-0.029,1.004,0.014,0.496,0.061,0.447,-1.057,0.602,-0.132,0.8,-0.129,0.629,0.247,-1.74,1.268,-0.038,2.062,-0.773,0.053,0.763,1.142,0.762,0.932,1.62,-0.583,-1.07,-0.052,-0.367,0.721,1.791,1.089,-0.582,1.767,-0.511,0.039,1.102,1.285,2.216,-1.34,1.06,0.116,-0.797,0.412,-0.558,-1.118,0.437,-2.153,0.262,-1.037,-0.297,2.264,0.635,-1.688,2.259,0.109,1.174,-0.709,-1.674,1.506,-0.105,-0.492,0.303,-1.783,0.903,-0.735,1.966
sample164,-0.635,-0.324,-1.499,0.633,1.296,0.93,1.275,0.755,2.628,-0.743,1.533,-1.993,-0.014,0.893,0.462,0.36,0.374,-1.904,-0.592,1.458,-1.263,-0.557,-0.391,0.68,0.283,0.896,-0.092,0.313,-0.561,0.774,-0.754,0.961,0.261,2.169,-0.589,1.49,0.469,0.177,1.532,0.786,-0.435,0.072,-0.404,-0.72,-0.734,-1.289,-0.2,-0.217,-0.808,0.471,-0.102,-1.906,0.219,-0.622,1.503,0.147,0.792,-1.152,-0.602,-1.931,0.742,0.778,-2.044,-2.035,-1.277,-0.845,-0.65,-0.347,-0.317,0.002,0.157,-0.404,1.533,-0.426,0.297
sample165,0.294,0.689,-0.68,-0.895,0.663,1.574,0.513,-0.366,-1.444,0.875,-0.519,0.31,-0.932,0.647,-1.248,-0.244,-1.441,-1.109,0.583,-0.447,-0.286,-0.455,1.451,0.181,-1.171,-0.127,-0.442,-0.278,1.144,0.242,-0.628,0.36,-0.423,-0.447,0.377,1.37,0.26,-0.43,2.077,-0.588,-1.136,1.288,0.551,-1.169,0.796,0.124,0.76,-0.501,1.503,-0.354,0.763,1.115,-1.434,0.247,-1.087,0.908,-0.496,-0.58,0.543,1.011,1.395,-0.076,0.027,-0.667,-0.649,1.273,-0.705,-1.377,-1.091,0.713,0.091,-0.197,0.902,-2.419,-0.711
sample166,-1.007,0.623,-0.366,1.783,0.524,-0.925,0.577,0.189,-0.959,0.803,1.77,0.818,-2.138,1.641,0.126,0.287,-1.392,1.677,0.492,0.732,-0.357,-0.58,1.706,-0.219,-1.693,-1.486,-0.103,1.671,1.361,0.046,1.228,-1.556,0.749,1.93,-0.611,1.273,0.329,1.239,-0.746,1.75,0.42,0.705,-0.342,-2.039,0.451,0.416,2.364,0.456,0.111,-0.04,1.59,-0.353,-0.634,-1.004,0.629,-1.151,-1.022,0.73,0.739,0.543,-0.397,-1.734,-1.084,-0.162,-1.527,-0.02,-2.223,-1.829,0.188,-1.131,-0.058,0.303,-1.784,0.288,1.238
sample167,-0.377,0.27,-2.438,0.756,-0.194,1.542,1.274,0.397,-1.098,-0.87,-0.696,2.044,0.481,-0.404,-1.8,-0.087,-0.243,1.275,-1.351,0.13,-1.242,0.401,-0.364,-0.921,0.129,0.188,2.151,-1.065,0.611,-0.278,0.883,-0.942,1.767,-0.466,1.216,0.153,-0.804,0.871,-1.682,0.69,-0.959,-0.778,0.999,0.379,0.321,0.7,0.095,-0.305,-1.005,0.569,0.117,1.532,-0.181,-0.473,-1.485,1.023,1.509,0.633,0.892,0.783,-1.007,-0.364,-1.013,1.123,0.777,-0.654,2.135,-0.02,-0.539,-0.544,0.047,-1.25,2.157,0.166,-0.442
sample168,0.018,0.014,0.266,0.693,1.096,0.575,-0.71,-0.785,-1.854,-1.095,1.487,1.178,1.334,-0.994,0.859,0.905,0.288,0.816,0.141,-1.12,-1.814,-1.646,0.207,0.415,0.782,0.68,0.1,-0.985,0.975,0.823,1.918,1.806,0.287,-0.613,-1.272,-0.255,0.259,0.183,1.616,0.599,0.883,-0.014,0.362,2.013,0.314,-0.864,-1.485,1.477,0.036,0.713,-0.972,-0.31,0.439,-1.018,-0.749,-0.891,0.249,-2.101,-0.391,-0.69,-0.38,1.298,0.423,-0.719,0.842,2.154,-0.305,-1.163,-0.265,0.96,1.536,0.714,-1.136,1.636,0.741
sample169,-0.831,-1.483,-0.44,-1.536,0.279,-0.472,-0.328,1.405,-1.047,-0.844,-1.691,-1.244,-0.437,0.43,0.166,-1.084,0.451,-1.627,-0.138,-0.639,0.094,-0.847,0.82,1.574,1.801,-0.796,0.7,-0.601,-0.582,-0.751,0.655,1.276,-0.057,-0.365,-0.301,-0.469,-1.082,-0.189,-0.708,-1.75,0.416,0.411,1.146,-0.628,1.251,0.57,0.401,-1.828,0.013,-0.837,2.111,-1.988,0.9,-0.822,-0.019,-1.92,0.19,-0.656,1.359,-0.585,0.42,-0.097,-0.353,0.67,-0.486,-2.566,-0.873,-0.323,1.007,1.277,-0.385,1.192,-0.208,-0.513,0.205
sample170,-0.952,0.718,1.114,1.64,0.124,0.804,1.048,0.149,-0.485,0.93,0.721,0.365,2.235,-1.904,1.071,-0.967,-0.311,-1.44,1.698,-1.996,0.806,-1.289,2.035,0.444,-0.256,0.231,1.283,0.714,-0.111,2.312,0.918,0.297,-0.562,-0.192,-0.89,-1.274,0.421,1.844,0.293,0.257,1.461,-0.722,0.29,-0.275,-1.344,0.853,0.694,0.76,0.527,-1.23,0.758,0.266,0.871,0.329,-0.377,2.012,0.214,-0.728,0.073,-0.656,0.131,0.173,-0.715,0.5,1.122,0.902,0.301,2.02,-0.265,0.042,-1.555,-0.575,1.353,-1.497,-0.333
sample171,0.186,1.272,-0.213,-0.808,0.116,0.935,1.479,0.213,-0.804,-1.305,0.226,0.467,-0.723,0.167,-1.595,0.343,-0.838,0.608,0.451,-0.976,-1.869,1.342,0.586,0.374,-0.378,-1.36,0.141,0.512,-1.815,-0.713,-0.497,-0.954,0.461,-0.752,-3.261,0.049,0.293,-1.5,-0.108,0.283,1.807,0.514,0.915,-0.109,0.234,-1.224,-1.304,0.915,0.468,-0.603,-1.402,-0.924,-0.228,-0.22,0.433,0.397,-2.396,0.398,0.264,-2.119,-1.295,0.028,0.471,-0.457,-1.43,-0.305,-0.229,0.703,-0.412,0.428,-0.584,0.03,-1.454,-0.481,0.797
sample172,-0.208,-0.68,-0.277,-1.125,-0.759,0.583,2.497,0.097,-1.449,-0.113,0.828,-1.018,0.477,-1.225,-0.151,-0.127,-1.446,0.413,0.436,-1.094,0.955,-1.267,0.864,-0.111,2.448,-0.244,0.324,-1.794,-0.536,-0.169,0.801,-0.301,-1.221,1.497,-0.757,0.517,-2.79,1.796,1.603,-0.679,1.227,-0.993,-1.002,0.085,0.032,0.07,0.198,-1.513,-0.374,-0.322,-1.11,1.073,-0.214,-0.748,-0.549,-0.61,1.191,-0.37,1.558,-1.289,1.035,0.882,1.765,-1.093,0.524,0.525,-1.428,-1.23,-0.114,-2.127,-1.413,0.353,1.513,-0.654,1.021
sample173,-0.332,-0.726,-0.747,-0.872,1.009,0.814,0.887,1.837,-0.434,-0.484,-1.031,1.632,-0.569,1.132,-0.564,-1.326,-0.192,0.396,1.566,-0.085,0.131,-0.374,-1.17,-0.217,-0.822,0.832,-0.66,-0.206,-0.932,-0.79,-0.685,-1.13,-0.19,0.124,0.551,-1.278,-1.181,-1.246,0.471,1.508,-0.158,-0.192,-0.908,-0.113,0.05,-1.54,0.283,0.521,-0.442,0.109,1.057,0.23,-1.567,-0.123,2.031,-1.193,1.647,-0.063,-0.845,-2.021,0.313,-0.361,-0.363,-0.635,0.049,-2.323,-0.413,-1.16,0.314,-0.437,-0.02,0.271,-0.828,-1.28,-1.113
sample174,-0.359,1.524,1.393,1.165,-0.127,1.514,0.555,-0.45,0.466,0.542,-1.922,-1.479,-0.864,0.325,-0.332,-0.536,1.15,1.334,-1.078,1.623,-0.075,-0.058,0.776,1.184,-1.264,0.19,0.584,-0.161,-0.165,0.77,1.267,0.389,-0.534,0.654,0.115,0.385,-0.587,-0.206,-0.399,1.135,-0.723,0.249,-1.66,-1.372,-0.128,-0.32,0.079,-0.159,1.108,-0.972,-0.147,1.01,0.75,-0.225,0.061,1.512,0.025,2.298,-0.657,1.959,1.577,-1.147,0.447,-1.22,-0.636,1.475,1.013,0.151,-0.509,0.157,-0.997,0.082,-0.175,-0.236,1.281
sample175,-1.228,-1.496,0.069,-1.454,0.197,-0.983,0.28,-0.329,1.327,-0.109,-0.28,1.718,-0.122,0.949,0.719,-0.237,1.012,0.091,0.023,-1.464,1.469,0.89,1.46,-2.358,0.487,-0.872,0.133,0.578,1.67,-0.974,0.495,-0.771,-1.059,-1.009,0.03,1.097,1.762,0.928,-1.122,-0.239,-0.35,-0.763,-1.212,-0.879,-0.117,-0.186,0.419,0.215,0.42,-1.181,-0.979,0.966,0.002,-1.689,0.315,0.456,-0.578,0.54,-1.387,-0.25,-0.342,0.217,0.733,0.55,-0.731,-1.745,1.139,0.252,-1.321,-0.337,0.806,1.484,-1.392,-0.122,0.764
sample176,-0.151,1.076,0.108,-0.87,0.408,0.843,0.705,-0.188,-0.676,0.745,0.63,-2.179,-2.86,-0.897,-0.454,-0.195,-1.729,-0.237,1.624,-1.182,0.421,-0.148,-0.087,0.232,1.213,0.469,0.425,-0.489,-0.261,0.787,-0.293,-0.232,0.014,-0.133,0.884,1.36,-2.521,-0.75,0.399,0.64,0.153,1.196,0.822,1.158,-1.541,-0.117,0.425,1.928,-0.357,-0.978,0.623,0.367,2.001,-0.481,1.046,-0.972,1.203,0.043,1.451,-2.081,-0.102,-0.407,-0.658,0.865,0.461,-1.107,0.756,-0.798,0.375,-2.402,-0.56,0.463,1.667,-1.136,1.318
sample177,0.025,-1.277,0.324,0.519,-0.499,0.804,-0.043,1.481,1.209,-0.202,0.824,-0.905,-0.232,1.529,0.274,-0.908,-0.52,-1.081,-1.316,-1.792,-1.36,-0.333,0.259,-0.791,0.177,-0.141,0.631,-0.203,0.096,0.756,1.125,0.594,-0.235,0.703,1.453,1.682,1.282,0.075,0.223,0.254,0.621,-0.099,1.482,1.982,1.627,-0.772,0.159,2.309,1.619,-1.06,-0.394,0.482,-1.091,-0.054,-1.28,1.048,-0.965,-0.296,0.357,2.486,0.815,-0.1,-2.368,1.336,0.685,-2.07,1.463,0.942,-0.153,0.047,1.034,0.499,0.369,-0.11,1.222
sample178,-0.659,0.493,-0.644,-0.078,0.008,1.483,-1.006,0.635,0.54,0.138,1.361,-1.779,0.732,0.105,0.276,0.697,0.801,-0.741,-1.422,0.125,0.169,0.088,-0.941,0.327,-1.945,-1.083,1.094,-0.367,-0.797,-1.159,-0.345,-0.641,0.252,0.027,-0.558,1.855,0.053,0.871,1.048,0.575,1.015,-2.206,0.13,-1.074,1.226,0.93,-0.32,-0.953,0.51,0.16,-0.031,-0.161,0.589,-0.086,-0.481,-0.115,0.314,-0.13,1.211,-0.027,-0.145,-0.539,-1.211,0.421,0.667,0.456,1.36,0.032,0.656,0.267,-1.029,-0.628,-0.999,1.398,-1.335
sample179,0.759,-0.625,0.821,0.207,-0.269,-1.853,-1.618,0.214,0.437,-0.093,-0.569,-0.039,2.185,-3.104,0.477,-0.128,0.197,-0.328,0.403,-0.056,-0.712,-0.629,-0.187,-2.194,0.601,-0.278,0.348,0.307,0.006,-0.77,1.299,-0.27,0.678,0.967,-0.42,-0.443,-0.813,0.48,0.795,-1.597,-0.212,2.245,0.464,-1.653,1.231,1.059,0.263,-0.516,0.614,-1.724,0.26,-0.653,-0.573,0.13,0.599,-1.155,0.061,0.042,-0.489,2.028,-0.224,-0.074,1.022,0.368,-0.168,1.601,0.051,-0.979,1.196,0.118,1.323,1.373,0.022,-1.234,0.475
sample180,-0.52,0.623,0.539,-1.876,-1.562,-0.841,-0.439,0.724,-2.173,-0.979,-0.34,-1.282,-0.181,0.728,-1.172,0.275,1.303,0.973,-0.853,0.177,0.079,1.148,-0.361,-0.024,0.347,0.476,-0.176,-1.354,-0.259,0.545,1.345,-1.531,0.481,0.355,-0.067,0.593,0.791,1.352,-0.073,0.064,0.514,-0.532,0.02,0.625,-0.723,-0.987,0.413,0.615,-0.497,-0.094,0.122,-1.334,0.519,1.607,-0.664,0.408,1.908,0.804,-0.046,0.239,0.729,0.396,-0.758,1.76,-0.091,0.497,1.168,-0.053,0.414,0.941,-1.158,0.183,0.286,0.48,-0.134
sample181,0.491,-0.395,0.111,1.76,0.411,-0.248,0.269,0.114,-0.606,-0.081,0.992,-0.318,-0.125,-1.864,0.524,-0.08,-0.542,0.145,-0.299,-1.055,-2.152,-0.214,0.742,0.745,-0.204,1.196,-0.489,1.307,-0.66,0.756,-0.087,-0.665,-1.061,-0.161,0.92,-0.471,0.441,2.322,1.278,0.489,1.589,-1.25,0.848,0.265,0.552,-1.172,-0.06,-2.419,1.007,1.124,1.34,0.735,1.207,-0.295,0.066,0.306,1.143,-0.785,1.507,1.457,-1.117,1.04,1.235,1.042,0.563,0.532,1.084,1.914,-1.03,-0.047,0.289,1.672,1.816,0.243,-0.095
sample182,0.818,-0.945,1.809,0.815,-0.657,-0.877,0.476,0.955,-0.635,0.155,1.495,0.137,-0.448,-0.322,0.259,-0.753,-0.152,-0.048,-0.144,-0.623,2.477,-2.162,0.658,-0.379,0.145,-0.463,-0.106,0.677,-1.13,0.371,0.202,-0.516,0.194,0.069,0.856,1.29,0.397,-0.385,0.244,0.24,0.873,0.09,0.699,0.542,1.328,1.494,-1.5,1.329,-0.168,-0.315,-1.048,1.174,-0.783,-0.591,0.905,-0.229,0.966,-0.577,-0.688,1.123,0.693,-0.317,0.311,0.747,-0.503,-0.939,0.323,0.225,-0.19,2.466,0.908,1.31,-1.429,-0.715,-0.175
sample183,-0.57,0.258,-0.463,-0.638,-0.175,-0.115,0.366,-0.007,-1.904,-0.959,1.342,0.576,1.308,0.018,-0.71,-0.222,0.519,0.67,-0.671,-0.091,0.052,-0.077,1.118,-0.046,0.481,0.951,1.219,0.408,1.539,0.755,0.577,-1.424,0.307,1.895,0.533,-1.939,-0.215,-0.772,0.122,1.625,0.698,0.11,0.483,-0.304,1.37,0.513,0.126,-0.133,-0.769,0.083,0.368,0.29,-0.181,-0.994,-0.851,1.066,1.721,1.061,0.209,-1.412,0.068,0.626,0.388,0.322,0.313,1.868,-0.241,-0.455,-1.68,1.108,-0.344,1.866,-0.996,-0.681,0.816
sample184,0.431,2.123,1.084,0.092,-2.647,0.607,0.379,1.088,0.067,-0.524,-0.147,-0.257,0.077,-0.331,-1.218,0.159,-1.77,-0.501,1.237,-0.002,-1.011,-0.816,-1.017,-0.07,-0.378,-0.64,-1.922,0.341,0.866,-1.43,-1.334,1.415,-1.415,-0.079,1.775,-0.11,-0.633,-0.838,-0.802,0.051,0.969,0.558,0.295,-0.473,-0.916,-1.548,0.249,-1.372,0.055,1.448,0.322,-0.163,1.022,0.726,-0.31,-0.672,2.658,2.481,-0.111,-0.538,-0.696,1.106,-0.398,-1.049,-0.937,1.11,1.379,0.657,-0.385,-1.774,-1.149,-0.693,-2.171,0.777,0.672
sample185,0.845,1.009,-0.532,0.428,0.793,-1.848,-1.589,-0.42,-0.316,1.603,0.205,-0.159,1.777,-0.371,0.96,1.779,0.421,-0.925,-0.737,-0.616,0.491,1.21,-0.716,0.638,1.171,0.913,0.141,-0.617,-1.212,-1.242,-0.41,-1.846,0.271,-0.698,0.285,0.604,0.034,3.373,-0.424,0.655,0.214,0.13,-0.414,1.513,-0.199,0.388,0.305,-0.528,1.391,1.24,1.325,0.662,0.14,0.264,-0.169,0.456,1.346,0.317,-1.257,-1.139,-0.195,1.278,0.174,-0.418,0.229,-0.359,-0.886,-1.643,0.78,-1.766,1.151,-1.455,0.734,-0.129,0.908
sample186,1.268,0.716,-0.755,0.286,-0.416,-0.819,-0.539,-2.018,1.754,1.064,-0.351,2.586,-0.61,-0.831,0.625,-0.396,0.371,0.064,-0.256,-0.299,-1.801,-0.589,2.147,-2.269,-1.176,-0.739,-2.52,0.073,0.467,-0.647,-0.198,0.719,0.333,0.098,-0.284,0.82,-1.496,-0.905,1.338,-0.009,0.185,0.043,1.84,-0.187,-0.264,0.003,0.906,-0.266,-0.876,-0.423,0.243,-0.411,0.016,-0.682,0.557,0.223,0.616,0.811,2.423,1.217,-0.601,2.607,1.362,1.367,0.771,-1.111,1.281,-0.611,1.735,1.885,0.873,-0.814,-2.139,0.417,0.79
sample187,-1.971,-1.428,0.218,0.012,0.387,0.522,-0.06,1.116,-0.27,-1.503,0.133,0.114,-0.508,-0.769,-0.046,-0.885,-0.895,0.677,0.695,-1.502,1.667,1.13,0.709,0.002,2.392,-1.783,-0.184,-0.984,0.208,0.092,1.102,1.648,-0.933,-1.279,0.46,-0.107,-1.096,-0.019,1.207,1.393,-0.706,0.464,-0.113,0.168,0.301,0.975,0.83,0.624,-0.346,0.531,0.744,0.584,-0.954,-0.884,0.391,-1.678,-0.906,0.159,0.368,-0.499,-0.463,-0.154,0.078,-0.414,1.392,-0.417,0.424,2.731,-0.262,0.26,-0.353,-0.347,-0.261,0.322,-0.476
sample188,1.107,-0.614,0.99,-0.47,0.257,-0.648,-0.659,-0.853,-1.88,-0.925,0.187,-0.407,0.319,0.703,-0.4,-1.508,-0.309,0.048,0.994,0.005,-0.486,-1.445,-0.215,-1.171,0.222,1.185,1.176,-1.497,-0.185,-0.662,0.163,0.255,0.402,0.642,-0.883,1.203,2.091,1.513,0.034,1.188,-0.946,-0.095,0.06,-0.93,-0.115,-0.926,2.244,-0.415,0.503,-0.648,0.373,-1.059,0.659,-0.41,0.922,0.237,-1.463,0.973,2.331,-0.094,1.851,0.695,1.507,0.006,-1.929,0.428,0.302,-1.137,-0.035,-1.395,0.256,-0.789,-0.282,-0.085,0.781
sample189,-0.34,-1.762,1.097,-0.657,0.418,0.189,0.408,-1.62,0.274,0.368,-0.516,0.334,-1.494,-0.955,0.133,0.588,-0.775,-0.611,-1.224,1.405,-1.383,-1.427,-0.556,0.608,-0.999,1.066,-1.329,-0.192,-0.518,1.424,0.177,0.953,-1.035,-0.461,-0.311,0.547,1.398,-0.312,-0.943,-2.17,1.402,0.351,1.039,1.416,-0.792,0.592,-2.521,1.243,0.392,0.735,-0.159,0.11,1.003,-1.047,0.615,-0.666,-0.381,-0.561,-0.232,-1.317,-1.074,0.031,-0.361,0.451,-1.31,-0.323,0.611,-0.138,-2.018,0.912,0.777,-0.034,0.133,0.42,-0.693
sample190,1.537,0.577,-0.204,-0.368,0.068,-0.153,1.25,-0.082,0.049,0.605,-1.192,2.119,-0.519,0.286,-0.723,1.403,0.067,0.459,-1.763,-0.736,0.898,-0.014,-1.082,-0.581,1.059,0.653,-0.278,-0.035,0.874,0.245,-1.144,0.85,-0.704,0.172,-2.065,-1.442,-1.572,-0.403,0.598,0.368,0.382,0.719,0.905,-1.403,0.686,-1.66,-0.583,0.393,-0.59,1.198,2.406,0.701,1.841,-0.441,-0.268,1.674,-0.269,-0.068,0.219,-2.207,0.115,-0.915,-1.095,-0.189,-0.033,-0.343,0.869,0.583,0.404,1.177,-0.989,-0.524,0.861,-0.709,0.726
sample191,0.11,0.593,0.722,-0.848,-0.305,-0.332,0.345,1.545,-1.345,0.959,0.65,-0.745,-0.373,1.259,0.992,-0.875,-0.915,-0.015,-1.493,1.506,-0.082,-1.539,-0.449,1.618,-0.233,-0.088,-0.681,-1.91,-0.849,-0.419,-0.788,-0.652,-0.29,-1.213,1.286,-0.049,-1.803,0.357,-1.559,1.066,0.04,-0.51,-0.103,-0.605,0.694,-0.148,-1.7,-1.089,0.193,0.307,0.728,0.979,0.164,0.206,1.572,0.145,0.39,-1.184,0.707,0.553,0.082,-0.726,0.194,1.467,-0.9,0.671,-0.122,-0.467,0.608,-0.515,0.204,-0.327,-0.632,-0.22,0.727
sample192,1.091,1.808,0.162,0.836,-0.282,-0.246,-0.74,0.212,-1.489,-1.024,-0.413,-0.44,0.311,-0.241,0.218,-0.65,0.181,0.251,-0.378,1.163,1.132,1.132,1.091,1.054,0.411,-0.035,1.065,-0.851,-1.606,0.94,0.381,-0.258,1.713,1.777,-0.904,-0.046,0.474,-1.846,-0.923,2.321,1.806,-0.936,-1.597,1.933,0.693,1.66,-0.554,0.965,-0.094,-0.054,-0.29,0.673,-1.996,1.099,0.112,-0.258,0.316,0.709,0.642,-0.353,-1.008,0.791,-1.031,0.274,-1.471,-0.969,-0.946,-0.74,-0.163,0.406,-1.115,-0.08,-0.031,2.2,-1.976
sample193,0.861,0.056,-0.238,-1.07,-0.993,0.436,-2.079,0.673,3.283,1.819,1.422,0.399,-0.323,1.276,-0.03,-1.654,0.73,3.1,-0.948,0.173,0.372,-1.166,-0.407,-0.252,0.612,-0.001,-0.651,-0.691,0.452,0.037,0.669,0.765,-0.699,-2.728,-1.192,-0.778,0.31,-1.133,-0.756,-1.98,-0.014,1.358,0.543,0.814,-0.007,1.001,1.807,0.95,0.662,-0.643,-0.575,0.486,-0.522,-0.848,0.532,-0.992,-1.974,-1.877,-0.065,0.729,0.025,-0.227,0.142,0.362,-0.484,1.169,0.272,1.302,-1.035,0.475,0.825,2.043,-0.168,2.021,0.682
sample194,-0.631,-1.49,1.347,0.393,0.317,1.092,0.523,-1.15,0.023,-0.044,-2.181,1.19,-0.8,0.354,-1.452,0.09,1.985,0.596,-0.684,-1.225,-1.365,-1.171,1.056,-1.123,1.472,-0.196,1.18,-0.227,1.852,0.303,0.517,2.045,2.27,1.062,1.899,0.553,0.869,-0.535,1.095,1.014,-0.394,1.458,2.363,-0.618,0.465,-0.558,1.173,-0.2,0.952,0.301,1.323,0.833,-0.109,-1.14,1.213,0.797,-0.953,0.047,0.965,0.824,0.122,-1.396,0.6,0.489,-1.149,-2.297,0.616,1.31,-2.1,0.282,-1.61,-0.432,-0.074,0.035,-0.575
sample195,-0.725,-1.163,0.078,-0.877,1.511,-0.44,-1.082,0.115,0.216,0.516,0.224,-1.55,-0.411,1.673,-2.259,0.44,1.434,0.046,1.749,-0.725,-1.267,0.087,-0.592,-0.456,-1.248,0.877,-0.501,0.331,-1.004,-1.225,1.859,0.41,0.111,0.394,-1.065,-1.917,0.768,0.174,-0.027,0.906,0.842,0.75,-0.277,0.76,-0.02,-0.176,1.275,1.876,-1.481,1.814,-0.29,-1.232,0.348,-0.311,0.237,-0.636,-0.02,-0.023,-0.853,1.383,-0.242,2.553,1.471,0.683,1.957,-3.709,0.25,-1.09,0.405,-2.99,-0.316,-0.617,0.544,0.493,-0.849
sample196,-1.201,-2.354,0.826,1.472,0.975,-0.296,0.087,0.141,-0.124,-0.664,-0.695,0.07,0.268,2.281,0.222,0.533,1.585,-1.913,-0.757,-1.311,-0.513,-0.367,0.556,1.734,-0.373,-1.089,0.905,-1.655,-0.943,-1.793,0.324,0.22,2.141,1.805,-0.365,-1.133,0.58,0.478,0.573,-0.569,-0.765,2.132,-0.912,-0.216,-0.831,0.355,-0.808,-1.703,-0.94,0.183,-0.354,0.042,-1.211,1.016,-0.398,-1.243,-0.576,-0.711,-0.178,0.083,0.652,0.94,1.725,-0.534,-0.658,-0.767,-0.343,-0.387,-2.05,1.62,0.132,-0.281,0.991,1.374,0.663
sample197,-0.15,-0.191,1.129,0.705,-1.44,0.024,0.467,0.624,1.017,-1.528,0.396,0.134,-0.157,1.643,-0.705,-0.674,0.335,1.434,-0.588,0.298,-1.582,-0.683,0.402,-0.601,0.791,-1.531,0.607,-1.758,-1.375,-1.661,0.199,0.588,1.885,0.608,-0.028,0.063,2.008,-2.155,-0.27,-0.307,0.21,0.657,-1.936,-0.87,-0.202,-1.004,-0.282,1.37,-0.357,-1.257,-0.363,-0.088,-1.186,-0.523,-1.303,0.17,-0.047,-0.927,-0.923,-0.132,-1.417,0.848,-0.235,2.678,0.121,-0.194,-1.298,-0.035,0.306,-1.925,-0.266,-0.045,1.049,0.405,0.077
sample198,1.421,1.263,-2.596,1.699,-0.599,1.384,0.674,0.135,0.427,1.627,-2.006,1.719,0.245,-0.831,-0.119,-1.362,-0.263,-1.001,0.403,0.452,-0.497,-0.091,0.22,1.184,1.778,2.258,0.483,0.131,1.407,-0.35,2.608,-0.724,-1.111,-0.141,-0.464,-0.893,2.124,0.371,-0.519,1.883,-0.465,0.104,-2.062,0.708,0.974,1.15,0.579,-1.534,-0.05,-0.288,2.871,-0.663,0.261,0.64,0.216,1.881,-0.056,-0.862,1.325,0.147,-0.081,0.587,-2.487,1.107,2.337,0.612,0.824,-0.145,-0.555,1.235,-0.04,-1.519,1.038,0.41,-1.27
